controller,tier,condition,seed,trial_seed,success,collision,path_length,time_to_goal,min_clearance,steering_smoothness,final_goal_distance,steps
A_baseline,dense,faulty,5,26206,False,True,12.000000000000004,400,1.8647291700454838,46.666666666666664,107.09870094518664,6
A_baseline,dense,faulty,6,85702,False,True,124.0,400,3.3671871521676984,11.873902481160822,81.34186595179649,62
A_baseline,dense,faulty,7,720542,False,True,294.0,400,2.383765176163982,14.298752608438107,35.785771843952894,147
A_baseline,dense,faulty,8,43194,False,True,292.00000000000006,400,2.4369685050507206,7.262501564621834,42.60989702978687,146
A_baseline,dense,faulty,9,76840,False,True,181.99999999999997,400,2.835908478826483,8.174584372655993,56.1434921869696,91
A_baseline,dense,faulty,10,827195,False,True,35.99999999999999,400,2.5503388935681177,25.022687358439345,85.4843339117943,18
A_baseline,dense,faulty,11,891107,False,True,46.00000000000001,400,3.664409207222544,33.38318353792978,85.5242849543098,23
A_baseline,dense,faulty,12,419585,False,False,800.0,400,3.757734160617449,7.771101090191228,13.083623973312573,400
A_baseline,dense,faulty,13,197278,False,True,72.0,400,2.8035876237497566,11.229171500475006,49.824556624570214,36
A_baseline,dense,faulty,14,662269,False,True,110.0,400,3.308036463257952,4.9236705851976215,24.323093221259544,55
B_handtuned_flc,sparse,clean,0,404653,False,False,800.0000000000001,400,3.1527421671865103,4.8817225687328385,54.67565923941407,400
B_handtuned_flc,sparse,clean,1,215753,True,False,228.0,114,3.2789929251758725,5.434461417575661,2.851442609134349,114
B_handtuned_flc,sparse,clean,2,944924,True,False,120.0,60,5.949698399584554,2.596507251568872,2.902913323671222,60
B_handtuned_flc,sparse,clean,3,12413,False,True,114.0,400,1.8130424548787258,5.740859258036848,92.03933120342953,57
B_handtuned_flc,sparse,clean,4,839153,False,True,111.99999999999999,400,2.8555685978665455,7.2890908865549315,26.838471016483375,56
B_handtuned_flc,sparse,clean,5,26206,False,True,302.0,400,1.7883692619049407,6.031644369662064,77.7060380977278,151
B_handtuned_flc,sparse,clean,6,85702,False,True,104.0,400,2.6959558434645685,3.4440311641216246,71.76292249717712,52
B_handtuned_flc,sparse,clean,7,720542,False,True,137.99999999999997,400,2.2225466995794254,2.499077335145662,8.620023420653485,69
B_handtuned_flc,sparse,clean,8,43194,False,False,800.0,400,4.210731011794877,6.644056766069005,52.40445143430616,400
B_handtuned_flc,sparse,clean,9,76840,False,True,60.0,400,1.8433959634676764,11.660754255251788,60.28702646351855,30
B_handtuned_flc,sparse,clean,10,827195,False,True,360.00000000000006,400,2.7498696578758257,8.884271852696711,32.379773232218234,180
B_handtuned_flc,sparse,clean,11,891107,False,False,800.0,400,2.885437487602136,3.1928170603422257,39.53081250626295,400
B_handtuned_flc,sparse,clean,12,419585,True,False,117.99999999999991,59,11.318552893345457,2.275530203453099,2.7951703318614305,59
B_handtuned_flc,sparse,clean,13,197278,False,False,800.0,400,5.099599652010687,4.657626903775436,52.47844836066894,400
B_handtuned_flc,sparse,clean,14,662269,False,True,100.0,400,1.9689421372697622,5.575440775692608,91.44909124786324,50
B_handtuned_flc,sparse,faulty,0,404653,False,True,688.0,400,2.0900861927489878,4.3703833063945705,82.46370466207519,344
B_handtuned_flc,sparse,faulty,1,215753,False,True,94.0,400,1.5096436356589724,6.053461972860366,94.86954549185532,47
B_handtuned_flc,sparse,faulty,2,944924,True,False,122.0,61,5.949698399584554,5.887144855433488,2.2823659950712787,61
B_handtuned_flc,sparse,faulty,3,12413,False,True,101.99999999999999,400,2.525394490391705,13.073881036694049,91.67057568888727,51
B_handtuned_flc,sparse,faulty,4,839153,False,True,394.0,400,1.9197576053301262,5.096816033819927,38.58805094636066,197
B_handtuned_flc,sparse,faulty,5,26206,False,False,800.0,400,4.7697254197167585,9.012744634476825,79.86728278857187,400
B_handtuned_flc,sparse,faulty,6,85702,False,True,106.00000000000003,400,2.6781273368716922,10.379849394752931,71.88274476490047,53
B_handtuned_flc,sparse,faulty,7,720542,False,False,800.0,400,4.368072978341078,4.771777812335164,54.19384131341622,400
B_handtuned_flc,sparse,faulty,8,43194,False,True,176.0,400,2.162952075043076,5.717003284913066,51.59637470205468,88
B_handtuned_flc,sparse,faulty,9,76840,False,True,60.0,400,1.8433959634676764,11.660754255251788,60.28702646351855,30
